num_of_nodes,gamma,clustering_coefficient
1000,2.1,0.3690823924963492
2000,2.1,0.39581731428009914
3000,2.1,0.40106449807274186
4000,2.1,0.3856724584045538
5000,2.1,0.3825536818586649
1000,2.2,0.35820463493577825
2000,2.2,0.365799706029307
3000,2.2,0.39263449536050865
4000,2.2,0.3872563712539337
5000,2.2,0.37917677571045344
1000,2.3,0.3441135241632459
2000,2.3,0.3913115591477732
3000,2.3,0.36258224229060565
4000,2.3,0.3784042309407345
5000,2.3,0.39652098716463285
1000,2.4,0.3519295457666974
2000,2.4,0.32473075196916273
3000,2.4,0.35924591276121676
4000,2.4,0.34512551351541154
5000,2.4,0.3434156491442618
1000,2.5,0.3363952444552921
2000,2.5,0.3166278830699374
3000,2.5,0.3445981307032433
4000,2.5,0.33783467180224264
5000,2.5,0.3574504948399431
1000,2.6,0.3290087703101765
2000,2.6,0.3091368932662595
3000,2.6,0.3143457464064531
4000,2.6,0.31304863361275725
5000,2.6,0.30560329272347836
1000,2.7,0.2614597212793969
2000,2.7,0.28112955404166995
3000,2.7,0.3155587115582849
4000,2.7,0.29263607765010724
5000,2.7,0.2806381975006778
1000,2.8,0.26627960260295336
2000,2.8,0.26049886760009555
3000,2.8,0.23907945236451436
4000,2.8,0.2600953857889546
5000,2.8,0.2645837396463351
1000,2.9,0.2456755090178365
2000,2.9,0.2335554705100591
3000,2.9,0.2626467214890152
4000,2.9,0.25091319239912413
5000,2.9,0.23720476330694018
